"id","first_name","last_name","team","position","photo"
502,"Justise","Winslow","Heat","SF",NULL
503,"Jeff","Withey","Jazz","C",NULL
504,"Christian","Wood","Hornets","PF",NULL
505,"Metta","World","Lakers","SF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/25.png&w=350&h=254"
506,"Brandan","Wright","Grizzlies","PF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3242.png&w=350&h=254"
507,"Delon","Wright","Raptors","PG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064447.png&w=350&h=254"
508,"Tony","Wroten","Grizzlies","G",NULL
509,"James","Young","Celtics","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064509.png&w=350&h=254"
510,"Joe","Young","Pacers","PG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528386.png&w=350&h=254"
511,"Nick","Young","Lakers","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3243.png&w=350&h=254"
512,"Thaddeus","Young","Pacers","PF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3244.png&w=350&h=254"
513,"Cody","Zeller","Hornets","C",NULL
514,"Tyler","Zeller","Celtics","C","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6631.png&w=350&h=254"
515,"Stephen","Zimmerman","Magic","C",NULL
516,"Paul","Zipser","Bulls","F","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3893023.png&w=350&h=254"
517,"Ivica","Zubac","Lakers","C","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4017837.png&w=350&h=254"
518,"MAX","MAX","MAX","MAX",NULL
519,"AVG","AVG","AVG","AVG",NULL
